finding_id,ruleId,file,line,message,security_severity,problem_severity,precision,CWE/tags,runtime_scope,trust_boundary,reachability,disposition,evidence,remediation_required,test_evidence,final_status,final_sarif_presence
673bb446cbedb15b,py/incomplete-url-substring-sanitization,enterprise_sso.py,496,The string [auth0.com](1) may be at an arbitrary position in the sanitized URL.,7.8,warning,high,external/cwe/cwe-020,production,internet_facing_api,production,CONTEXTUALLY_SAFE_FALSE_POSITIVE,Substring used for IdP label display only; OIDC redirect uses issuer URL validation elsewhere.,no,tests/test_codeql_*,accepted_fp,still_present_exact_line
9f3449f615cd15e2,py/incomplete-url-substring-sanitization,enterprise_sso.py,496,The string [okta.com](1) may be at an arbitrary position in the sanitized URL.,7.8,warning,high,external/cwe/cwe-020,production,internet_facing_api,production,DUPLICATE_SAME_ROOT_CAUSE,Same sanitization block as auth0.com substring at enterprise_sso.py:496.,no,tests/test_codeql_*,accepted_fp,still_present_exact_line
c0843f01b8d1ce6f,py/incomplete-url-substring-sanitization,tests/test_production_e2e_hardening.py,398,The string [api.binance.com](1) may be at an arbitrary position in the sanitized URL.,7.8,warning,high,external/cwe/cwe-020,test,test_harness,test,TEST_ONLY_NON_PRODUCTION,Test-only URL assertion.,no,tests/test_codeql_*,accepted_test_only,still_present_exact_line
6044a27bd37c1e54,py/stack-trace-exposure,dashboard.py,2123,[Stack trace information](1) flows to this location and may be exposed to an external user.,5.4,error,high,"external/cwe/cwe-209,external/cwe/cwe-497",production,internet_facing_api,production,CONFIRMED_TRUE_POSITIVE,scale_readiness_report nested artifact_error exposed str(exc); remediated to type name.,yes,tests/test_codeql_*,remediated_absent,absent_from_final_sarif
01bb0852fab93130,py/stack-trace-exposure,dashboard.py,2131,[Stack trace information](1) flows to this location and may be exposed to an external user.,5.4,error,high,"external/cwe/cwe-209,external/cwe/cwe-497",production,internet_facing_api,production,DUPLICATE_SAME_ROOT_CAUSE,viral_readiness_report embeds scale_readiness_report; canonical scale_readiness.py.,yes,tests/test_codeql_*,remediated_absent,absent_from_final_sarif
d62099179938e338,py/stack-trace-exposure,dashboard.py,4564,[Stack trace information](1) flows to this location and may be exposed to an external user.,5.4,error,high,"external/cwe/cwe-209,external/cwe/cwe-497",production,internet_facing_api,production,CONFIRMED_TRUE_POSITIVE,build_info returned str(exc); remediated to type(exc).__name__.,yes,tests/test_codeql_*,remediated_absent,absent_from_final_sarif
d44d9be59f815f44,py/stack-trace-exposure,api/routers/monitoring.py,32,"[Stack trace information](1) flows to this location and may be exposed to an external user.
[Stack trace information](2) flows to this location and may be exposed to an external user.",5.4,error,high,"external/cwe/cwe-209,external/cwe/cwe-497",production,internet_facing_api,production,CONFIRMED_TRUE_POSITIVE,vendor_rate_limit_status returned str(exc); remediated in ops/vendor_rate_limit_watchdog.py.,yes,tests/test_codeql_*,remediated_absent,absent_from_final_sarif
a94e3ab8da132339,py/clear-text-logging-sensitive-data,billing/audit_ledger.py,71,"This expression logs [sensitive data (private)](1) as clear text.
This expression logs [sensitive data (private)](2) as clear text.
This expression logs [sensitive data (private)](3) as clear text.
This expression logs [sensitive data (private)](4) as clear text.
This expression logs [sensitive data (private)](5) as clear text.",7.5,error,high,"external/cwe/cwe-312,external/cwe/cwe-359,external/cwe/cwe-532",production,internet_facing_api,production,CONFIRMED_TRUE_POSITIVE,PII email logged cleartext; remediated via sanitize_log_value at sink (CodeQL may still trace taint).,yes,tests/test_codeql_*,remediated_still_flagged,still_present_near_line_73
be92e0f7ec5fc851,py/clear-text-logging-sensitive-data,scripts/pre_launch_gate_assessor.py,22,This expression logs [sensitive data (secret)](1) as clear text.,7.5,error,high,"external/cwe/cwe-312,external/cwe/cwe-359,external/cwe/cwe-532",operator_cli,operator_local,operator_cli,TEST_ONLY_NON_PRODUCTION,"CLI gate assessor; stdout is operator-only, not production API path.",no,tests/test_codeql_*,accepted_test_only,still_present_exact_line
ea862db0d1a0fafa,py/clear-text-logging-sensitive-data,scripts/setup_billing_production.py,53,This expression logs [sensitive data (private)](1) as clear text.,7.5,error,high,"external/cwe/cwe-312,external/cwe/cwe-359,external/cwe/cwe-532",operator_cli,operator_local,operator_cli,CONTEXTUALLY_SAFE_FALSE_POSITIVE,Prints SKU display names/prices only; env secrets reduced to [SET]/[MISSING] booleans.,no,tests/test_codeql_*,accepted_fp,still_present_exact_line
