ruleId,name,problem_severity,security_severity,precision,tags,file,line,message
py/incomplete-url-substring-sanitization,py/incomplete-url-substring-sanitization,warning,7.8,high,correctness;security;external/cwe/cwe-020,enterprise_sso.py,496,The string [auth0.com](1) may be at an arbitrary position in the sanitized URL.
py/incomplete-url-substring-sanitization,py/incomplete-url-substring-sanitization,warning,7.8,high,correctness;security;external/cwe/cwe-020,enterprise_sso.py,496,The string [okta.com](1) may be at an arbitrary position in the sanitized URL.
py/incomplete-url-substring-sanitization,py/incomplete-url-substring-sanitization,warning,7.8,high,correctness;security;external/cwe/cwe-020,tests/test_production_e2e_hardening.py,398,The string [api.binance.com](1) may be at an arbitrary position in the sanitized URL.
py/stack-trace-exposure,py/stack-trace-exposure,error,5.4,high,security;external/cwe/cwe-209;external/cwe/cwe-497,dashboard.py,2123,[Stack trace information](1) flows to this location and may be exposed to an external user.
py/stack-trace-exposure,py/stack-trace-exposure,error,5.4,high,security;external/cwe/cwe-209;external/cwe/cwe-497,dashboard.py,2131,[Stack trace information](1) flows to this location and may be exposed to an external user.
py/stack-trace-exposure,py/stack-trace-exposure,error,5.4,high,security;external/cwe/cwe-209;external/cwe/cwe-497,dashboard.py,4564,[Stack trace information](1) flows to this location and may be exposed to an external user.
py/stack-trace-exposure,py/stack-trace-exposure,error,5.4,high,security;external/cwe/cwe-209;external/cwe/cwe-497,api/routers/monitoring.py,32,"[Stack trace information](1) flows to this location and may be exposed to an external user.
[Stack trace information](2) flows to this location and may be exposed to an external user."
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,billing/audit_ledger.py,71,"This expression logs [sensitive data (private)](1) as clear text.
This expression logs [sensitive data (private)](2) as clear text.
This expression logs [sensitive data (private)](3) as clear text.
This expression logs [sensitive data (private)](4) as clear text.
This expression logs [sensitive data (private)](5) as clear text."
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/pre_launch_gate_assessor.py,22,This expression logs [sensitive data (secret)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_billing_production.py,53,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_billing_production.py,58,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_billing_production.py,62,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_billing_production.py,83,"This expression logs [sensitive data (private)](1) as clear text.
This expression logs [sensitive data (private)](1) as clear text."
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_billing_production.py,79,"This expression logs [sensitive data (private)](1) as clear text.
This expression logs [sensitive data (private)](1) as clear text."
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_payments_usd.py,24,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_payments_usd.py,28,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_payments_usd.py,31,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_payments_usd.py,32,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_payments_usd.py,34,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_stripe_production.py,55,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_stripe_production.py,60,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/setup_stripe_production.py,101,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,billing/sweeper.py,45,This expression logs [sensitive data (private)](1) as clear text.
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-359;external/cwe/cwe-532,scripts/verify_institutional_owner_secret.py,93,"This expression logs [sensitive data (secret)](1) as clear text.
This expression logs [sensitive data (secret)](2) as clear text.
This expression logs [sensitive data (secret)](3) as clear text.
This expression logs [sensitive data (secret)](4) as clear text."
py/clear-text-storage-sensitive-data,py/clear-text-storage-sensitive-data,error,7.5,high,security;external/cwe/cwe-312;external/cwe/cwe-315;external/cwe/cwe-359,institutional_commerce.py,48,This expression stores [sensitive data (private)](1) as clear text.
